"slug","city_name_ru","hotel_name","image_url","star_rating","region_id","tripadvisor_rating","max_tripadvisor_rating","facilities","price"
"sawasdee_bangkok_inn","Бангкок","Sawasdee Bangkok Inn","https://cdn.ostrovok.ru/t/orig/second/94/b6/94b62aa52ec62f954b36c4b099a2e212cbe98c80.jpeg",,604,2.5,5,"",778.80
"maxx","Бангкок","Maxx Hotel","https://cdn.ostrovok.ru/t/orig/mec/10/af/10afa9700375b7c44ff8f58c93693dc783f9ee20.jpeg",,604,2.5,5,"",2134.36
"queen_s_garden_resort","Бангкок","Queen's Garden Resort","https://cdn.ostrovok.ru/t/orig/carsolize/5e/41/5e4153bfe1389828671dab8f2fa7291b0c011609.jpeg",,604,3.5,5,"",2184.65
"i_residence_hotel_silom","Бангкок","I Residence Hotel Silom","https://cdn.ostrovok.ru/t/orig/mec/0c/98/0c983269b7b17226899c93735cfb82def8a6c409.jpeg",,604,3.5,5,"",3000.76
"oldtown_hostel_","Бангкок","Oldtown Hostel","https://cdn.ostrovok.ru/t/orig/second/cf/86/cf86d5f5df0c4c9fcd3bb548ea2ab7a0a04f48c0.jpeg",,604,4.5,5,"",1260.63
"somerset_sukhumvit_thonglor","Бангкок","Somerset Sukhumvit Thonglor Bangkok","https://cdn.ostrovok.ru/t/orig/content/d3/3b/d33be47aab9e300c10399e4bcfe80ba733bcce6f.jpeg",,604,4.5,5,"",7563.77
"all_seasons_bangkok_victory","Бангкок","Vic3 Bangkok","https://cdn.ostrovok.ru/t/orig/mec/hotels/5000000/4060000/4053800/4053706/4053706_26_b.jpg",,604,4,5,"",2406.73
"cape_house_serviced_apartments","Бангкок","Cape House Serviced Apartments","https://cdn.ostrovok.ru/t/orig/second/f1/b6/f1b6a01bd50c3d174c0f1955572c221d5f4d41e8.jpeg",,604,4.5,5,"",7220.67
"301_condo__hotel","Бангкок","301 Condo & Hotel","https://cdn.ostrovok.ru/t/orig/second2/1389674013/ee193d0919a70f3dbda0eddcddf7f3e1.jpg",,604,0,5,"",1459.76
"_0x37c93","Бангкок","Nine Design Place","https://cdn.ostrovok.ru/t/orig/second/92/56/9256236a1daba74f750469cfc1f2fcf56b6d4e8a.jpeg",,604,4.5,5,"",4023.56
"nida_rooms_bang_na_9_adventures","Бангкок","NIDA Rooms Bang Na 9 Adventures","https://cdn.ostrovok.ru/t/orig/mec/20/67/2067fb70233298edd40b3299ef50faa7b4c0c25e.jpeg",,604,0,5,"",2038.15
"having_fun_in_budapest","Будапешт","Having Fun In Budapest","https://cdn.ostrovok.ru/t/orig/carsolize/12/37/1237f838fdfebe159b2fc3b55d5e67833904a5cf.jpeg",,715,0,5,"",471646.43
"dnd_residence","Будапешт","DND Residence","https://cdn.ostrovok.ru/t/orig/second/ab/cc/abccaa44d828dd270a608ead29ac7b8a5a9e1432.jpeg",,715,0,5,"",471646.43
"bimm_bamm_bumm","Будапешт","Bimm Bamm Bumm","https://cdn.ostrovok.ru/t/orig/second/7e/63/7e6340c42adb9706d2464afe5afbfe6d9f433929.jpeg",,715,4,5,"",471646.43
